"station_id","province_code"
"GHCND:TH000048300","MAE HONG SON"
"GHCND:TH000048302","DOI ANG KHANG"
"GHCND:TH000048303","CHIANG RAI"
"GHCND:TH000048304","CHAING RAI ARGOMET"
"GHCND:TH000048307","TUNG CHANG"
"GHCND:TH000048310","PHAYAO"
"GHCND:TH000048315","THA WANG PHA"
"GHCND:TH000048324","THOEN"
"GHCND:TH000048325","MAE SARIANG"
"GHCND:TH000048326","MAE JO AGROMET"
"GHCND:TH000048327","CHIANG MAI INTL"
"GHCND:TH000048328","LAMPANG"
"GHCND:TH000048329","LAMPHUN"
"GHCND:TH000048330","PHRAE"
"GHCND:TH000048331","NAN"
"GHCND:TH000048333","NAN AGROMET"
"GHCND:TH000048334","LAMPANG AGROMET"
"GHCND:TH000048350","LOEI AGROMET"
"GHCND:TH000048351","UTTARADIT"
"GHCND:TH000048352","NONG KHAI"
"GHCND:TH000048353","LOEI"
"GHCND:TH000048354","UDON THANI"
"GHCND:TH000048355","SAKON NAKHON AGROMET"
"GHCND:TH000048356","SAKON NAKHON"
"GHCND:TH000048357","NAKHON PHANOM"
"GHCND:TH000048358","NAKHON PHANOM AGROMET"
"GHCND:TH000048360","NONGBUALAMPHU"
"GHCND:TH000048372","SUKHOTHAI"
"GHCND:TH000048373","SI SAMRONG AGROMET"
"GHCND:TH000048374","LOMSAK"
"GHCND:TH000048375","MAE SOT"
"GHCND:TH000048376","TAK"
"GHCND:TH000048377","BHUMIBOL DAM"
"GHCND:TH000048378","PHITSANULOK"
"GHCND:TH000048379","PHETCHABUN"
"GHCND:TH000048380","KAMPHAENG PHET"
"GHCND:TH000048381","KHON KAEN"
"GHCND:TH000048382","KOSUMPHISAI"
"GHCND:TH000048383","MUKDAHAN"
"GHCND:TH000048384","THA PHRA AGROMET"
"GHCND:TH000048385","UMPHANG"
"GHCND:TH000048386","PICHIT AGROMET"
"GHCND:TH000048387","DOI MU SOE AGROMET"
"GHCND:TH000048390","KAMALASAI"
"GHCND:TH000048400","NAKHON SAWAN"
"GHCND:TH000048401","TAKFA AGROMET"
"GHCND:TH000048402","CHAINAT AGROMET"
"GHCND:TH000048403","CHAIYAPHUM"
"GHCND:TH000048404","ROI ET AGROMET"
"GHCND:TH000048405","ROB MUANG"
"GHCND:TH000048407","UBON RATCHATHANI"
"GHCND:TH000048408","UBON RATCHATHANI AGROMET"
"GHCND:TH000048409","SI SAKET AGROMET"
"GHCND:TH000048413","WICHIAN BURI"
"GHCND:TH000048415","AYUTTHAYA"
"GHCND:TH000048416","THA TUM"
"GHCND:TH000048418","BUA CHUM"
"GHCND:TH000048419","PATHUMTHANI"
"GHCND:TH000048420","SAMUTPRAKAN AGROMET"
"GHCND:TH000048421","THONG PHAPHUM"
"GHCND:TH000048425","SUPHAN BURI"
"GHCND:TH000048426","LOP BURI"
"GHCND:TH000048427","U THONG AGROMET"
"GHCND:TH000048429","SUVARNABHUMI INTER AIRPORT"
"GHCND:TH000048430","KHAO E TO"
"GHCND:TH000048431","KHORAT"
"GHCND:TH000048432","SURIN"
"GHCND:TH000048433","SURIN AGROMET"
"GHCND:TH000048434","CHOK CHAI"
"GHCND:TH000048435","PAKCHONG AGROMET"
"GHCND:TH000048436","NANGRONG"
"GHCND:TH000048437","BURERAM"
"GHCND:TH000048439","KABINBURI"
"GHCND:TH000048440","SRAKAEW"
"GHCND:TH000048450","KANCHANA BURI"
"GHCND:TH000048451","NAKHONPATHOM"
"GHCND:TH000048453","BANG NA AGROMET"
"GHCND:TH000048454","BANGKOK PORT"
"GHCND:TH000048455","BANGKOK METROPOLIS"
"GHCND:TH000048456","BANGKOK INTL"
"GHCND:TH000048457","BANGKOK PILOT"
"GHCND:TH000048458","CHACHOENGSAO AGROMET"
"GHCND:TH000048459","CHON BURI/SATTAHIP"
"GHCND:TH000048460","KO SICHANG"
"GHCND:TH000048461","PHATTHAYA"
"GHCND:TH000048462","ARANYAPRATHET"
"GHCND:TH000048463","LAEM CHABANG"
"GHCND:TH000048464","RATCHA BURI"
"GHCND:TH000048465","PHETCHABURI"
"GHCND:TH000048474","NONG PHLUB AGROMET"
"GHCND:TH000048475","HUA HIN"
"GHCND:TH000048477","SATTAHIP"
"GHCND:TH000048478","RAYONG"
"GHCND:TH000048479","HUAI PONG AGROMET"
"GHCND:TH000048480","CHANTHABURI"
"GHCND:TH000048481","PHLIU AGROMET"
"GHCND:TH000048500","PRACHUAP"
"GHCND:TH000048501","KHLONG YAI"
"GHCND:TH000048517","CHUMPHON"
"GHCND:TH000048520","SAWI AGROMET"
"GHCND:TH000048532","RANONG"
"GHCND:TH000048550","KO SAMUI"
"GHCND:TH000048551","SURAT THANI"
"GHCND:TH000048552","CHA IAN"
"GHCND:TH000048553","KHANOM"
"GHCND:TH000048554","NAKHONSI THAMMARAT AGROMET"
"GHCND:TH000048555","SURAT THANI AGROMET"
"GHCND:TH000048556","PHRASANG"
"GHCND:TH000048557","CHAWANG"
"GHCND:TH000048560","PHATTHALUNG AGROMET"
"GHCND:TH000048561","TAKUA PA"
"GHCND:TH000048563","KRABI"
"GHCND:TH000048564","PHUKET"
"GHCND:TH000048565","PHUKET INTL"
"GHCND:TH000048566","KO LANTA"
"GHCND:TH000048567","TRANG"
"GHCND:TH000048568","SONGKHLA"
"GHCND:TH000048569","HAT YAI INTL"
"GHCND:TH000048570","KHOUN KHAN"
"GHCND:TH000048571","KHO HONG AGROMET"
"GHCND:TH000048574","SA-DAO"
"GHCND:TH000048580","PATTANI"
"GHCND:TH000048581","YALA AGROMET"
"GHCND:TH000048583","NARATHIWAT"